solution_concentration,polymer_mw,polymer_mn,polymer_dispersity,hole_mobility,post_process,channel_width,channel_length,film_deposition_type_spin,film_deposition_type_MGC,solvent_boiling_point,blend_conjugated_polymer,insulating_polymer,substrate_pretreat_sam,solution_treatment_poor_solvent,post_process_annealing
7,290,143,2.03,0.0901,1,1000,30,1,0,180.1,0,0,1,0,1
7,290,143,2.03,0.0641,1,1000,30,1,0,180.1,0,0,1,0,1
6.5,100,67,3,0.2,1,3000,120,1,0,62,0,0,0,0,1
1.6,279,77,3.65,0.09,1,1000,100,1,0,62,0,0,1,0,1
1.6,279,77,3.65,0.14,1,1000,100,1,0,62,0,0,1,1,1
0.5,102,43,2,0.00015,1,800,40,0,1,62,0,0,1,0,1
0.75,102,43,2,0.02,1,800,40,0,1,62,0,0,1,0,1
1,102,43,2,0.06,1,800,40,0,1,62,0,0,1,0,1
2,102,43,2,0.15,1,800,40,0,1,62,0,0,1,0,1
5,102,43,2,0.45,1,800,40,0,1,62,0,0,1,0,1
0.5,102,43,2,0.00045,1,800,40,0,1,62,0,0,1,0,1
0.75,102,43,2,0.45,1,800,40,0,1,62,0,0,1,0,1
1,102,43,2,0.2,1,800,40,0,1,62,0,0,1,0,1
2,102,43,2,0.8,1,800,40,0,1,62,0,0,1,0,1
5,102,43,2,0.5,1,800,40,0,1,62,0,0,1,0,1
5,104,20,5.2,0.1,1,4500,70,0,1,62,0,0,1,0,1
7,104,20,5.2,0.17,1,4500,70,0,1,62,0,0,1,0,1
8.5,104,20,5.2,0.15,1,4500,70,0,1,62,0,0,1,0,1
10,104,20,5.2,0.28,1,4500,70,0,1,62,0,0,1,0,1
12,104,20,5.2,0.2,1,4500,70,0,1,62,0,0,1,0,1
14,104,20,5.2,0.29,1,4500,70,0,1,62,0,0,1,0,1
16,104,20,5.2,0.325,1,4500,70,0,1,62,0,0,1,0,1
18,104,20,5.2,0.36,1,4500,70,0,1,62,0,0,1,0,1
25,104,20,5.2,0.4,1,4500,70,0,1,62,0,0,1,0,1
5,104,20,5.2,0.18,1,4500,70,0,1,62,0,0,1,0,1
7,104,20,5.2,0.28,1,4500,70,0,1,62,0,0,1,0,1
8.5,104,20,5.2,0.23,1,4500,70,0,1,62,0,0,1,0,1
10,104,20,5.2,0.315,1,4500,70,0,1,62,0,0,1,0,1
12,104,20,5.2,0.18,1,4500,70,0,1,62,0,0,1,0,1
14,104,20,5.2,0.28,1,4500,70,0,1,62,0,0,1,0,1
16,104,20,5.2,0.3,1,4500,70,0,1,62,0,0,1,0,1
18,104,20,5.2,0.28,1,4500,70,0,1,62,0,0,1,0,1
25,104,20,5.2,0.275,1,4500,70,0,1,62,0,0,1,0,1
3,104,20,5.2,0.08,1,4500,70,0,1,62,0,0,1,0,1
5,104,20,5.2,0.125,1,4500,70,0,1,62,0,0,1,0,1
7,104,20,5.2,0.08,1,4500,70,0,1,62,0,0,1,0,1
8.5,104,20,5.2,0.08,1,4500,70,0,1,62,0,0,1,0,1
10,104,20,5.2,0.08,1,4500,70,0,1,62,0,0,1,0,1
12,104,20,5.2,0.13,1,4500,70,0,1,62,0,0,1,0,1
14,104,20,5.2,0.125,1,4500,70,0,1,62,0,0,1,0,1
16,104,20,5.2,0.05,1,4500,70,0,1,62,0,0,1,0,1
18,104,20,5.2,0.075,1,4500,70,0,1,62,0,0,1,0,1
25,104,20,5.2,0.095,1,4500,70,0,1,62,0,0,1,0,1
3,104,20,5.2,0.055,1,4500,70,0,1,62,0,0,1,0,1
5,104,20,5.2,0.325,1,4500,70,0,1,62,0,0,1,0,1
7,104,20,5.2,0.3,1,4500,70,0,1,62,0,0,1,0,1
10,104,20,5.2,0.35,1,4500,70,0,1,62,0,0,1,0,1
12,104,20,5.2,0.38,1,4500,70,0,1,62,0,0,1,0,1
14,104,20,5.2,0.425,1,4500,70,0,1,62,0,0,1,0,1
18,104,20,5.2,0.4,1,4500,70,0,1,62,0,0,1,0,1
25,104,20,5.2,0.3,1,4500,70,0,1,62,0,0,1,0,1
3,292,143,2.03,0.336,1,2000,50,0,1,132,0,0,1,0,1
4,292,143,2.03,0.401,1,2000,50,0,1,132,0,0,1,0,1
5,292,143,2.03,0.56,1,2000,50,0,1,132,0,0,1,0,1
6,292,143,2.03,0.442,1,2000,50,0,1,132,0,0,1,0,1
8,292,143,2.03,0.397,1,2000,50,0,1,132,0,0,1,0,1
5,255,94.4,2.7,0.8,0,8800,80,1,0,180.1,0,0,1,0,0
10,193.5,50,3.87,0.47,1,10000,20,1,0,180.1,0,0,0,0,1
10,193.5,50,3.87,1.23,1,10000,20,1,0,180.1,0,0,0,0,1
10,193.5,50,3.87,0.93,1,10000,20,1,0,180.1,0,0,0,0,1
10,193.5,50,3.87,1.36,1,10000,20,1,0,180.1,0,0,0,0,1
8,54.79,20.052,2.73,0.16,0,4400,52,0,1,62,0,0,1,0,0
8,54.79,20.052,2.73,0.32,0,4400,52,0,1,62,0,0,1,0,0
12,54.79,20.052,2.73,0.24,0,4400,52,0,1,62,0,0,1,0,0
12,54.79,20.052,2.73,0.27,0,4400,52,0,1,62,0,0,1,0,0
27,54.79,20.052,2.73,0.25,0,4400,52,0,1,62,0,0,1,0,0
27,54.79,20.052,2.73,0.2,0,4400,52,0,1,62,0,0,1,0,0
4,250,68,3.67,0.8,1,1500,80,1,0,180.1,0,0,1,0,1
2,204,66,3.1,0.042815914,1,2000,50,0,1,132,0,0,0,0,1
6,204,66,3.1,0.113931203,1,2000,50,0,1,132,0,0,0,0,1
10,204,66,3.1,0.061765646,1,2000,50,0,1,132,0,0,0,0,1
5,204,66,3.1,0.22,1,2000,50,0,1,132,0,0,0,0,1
5,292,143,2.03,0.105,1,2000,50,0,1,132,0,0,0,0,1
5,204,66,3.1,0.077,1,2000,50,0,1,132,0,0,0,0,1
5,110,44,2.5,0.052,1,2000,50,0,1,132,0,0,0,0,1
5,152,55,2.76,0.047,1,2000,50,0,1,132,0,0,0,0,1
5,292,143,2.03,0.104,1,2000,50,0,1,132,0,0,0,0,1
5,204,66,3.1,0.187176952,1,2000,50,0,1,132,0,1,1,0,1
5,204,66,3.1,0.190528892,1,2000,50,0,1,132,0,1,1,0,1
5,204,66,3.1,0.180283392,1,2000,50,0,1,132,0,1,1,0,1
5,204,66,3.1,0.159097091,1,2000,50,0,1,132,0,1,1,0,1
5,204,66,3.1,0.129223278,1,2000,50,0,1,132,0,0,1,0,1
5,292,143,2.03,0.143916963,1,2000,50,0,1,132,0,1,0,0,1
5,292,143,2.03,0.176246253,1,2000,50,0,1,132,0,1,0,0,1
5,292,143,2.03,0.174301807,1,2000,50,0,1,132,0,1,0,0,1
5,292,143,2.03,0.092924906,1,2000,50,0,1,132,0,1,0,0,1
5,292,143,2.03,0.074402888,1,2000,50,0,1,132,0,0,0,0,1
5,292,143,2.03,0.124165231,1,2000,50,0,1,132,0,1,1,0,1
5,292,143,2.03,0.370376245,1,2000,50,0,1,132,0,1,1,0,1
5,292,143,2.03,0.319754,1,2000,50,0,1,132,0,1,1,0,1
5,292,143,2.03,0.257337819,1,2000,50,0,1,132,0,1,1,0,1
5,292,143,2.03,0.193502465,1,2000,50,0,1,132,0,0,1,0,1
2,204,66,3.1,0.012535433,1,2000,50,0,1,132,0,0,0,0,1
4,204,66,3.1,0.038332987,1,2000,50,0,1,132,0,0,0,0,1
6,204,66,3.1,0.101182024,1,2000,50,0,1,132,0,0,0,0,1
7,204,66,3.1,0.198600871,1,2000,50,0,1,132,0,0,0,0,1
8,204,66,3.1,0.163841797,1,2000,50,0,1,132,0,0,0,0,1
10,204,66,3.1,0.170187205,1,2000,50,0,1,132,0,0,0,0,1
2,110,44,2.5,0.000412427,1,2000,50,0,1,132,0,0,0,0,1
4,110,44,2.5,0.007139338,1,2000,50,0,1,132,0,0,0,0,1
6,110,44,2.5,0.03741155,1,2000,50,0,1,132,0,0,0,0,1
8,110,44,2.5,0.072671825,1,2000,50,0,1,132,0,0,0,0,1
9,110,44,2.5,0.0637786,1,2000,50,0,1,132,0,0,0,0,1
10,110,44,2.5,0.027641647,1,2000,50,0,1,132,0,0,0,0,1
12,110,44,2.5,0.046912305,1,2000,50,0,1,132,0,0,0,0,1
2,204,66,3.1,0.011942893,1,2000,50,0,1,132,0,0,1,0,1
4,204,66,3.1,0.042119677,1,2000,50,0,1,132,0,0,1,0,1
6,204,66,3.1,0.148003545,1,2000,50,0,1,132,0,0,1,0,1
7,204,66,3.1,0.111808435,1,2000,50,0,1,132,0,0,1,0,1
8,204,66,3.1,0.163626472,1,2000,50,0,1,132,0,0,1,0,1
10,204,66,3.1,0.141647659,1,2000,50,0,1,132,0,0,1,0,1
