solution_concentration,polymer_mw,polymer_mn,polymer_dispersity,solution_treatment,substrate_pretreatment,post_process,channel_width,channel_length,film_deposition_type_spin,dielectric_material_SiO2,electrode_configuration_BGBC,electrode_configuration_BGTC,electrode_configuration_TGBC,gate_material_Other,film_deposition_type_MGC,dielectric_material_other,solvent_boiling_point,hole_mobility
4,250,68,3.67,0,1,1,1500,80,1,1,0,1,0,0,0,0,180.1,0.8
2,204,66,3.1,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.042815914
6,204,66,3.1,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.113931203
10,204,66,3.1,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.061765646
5,204,66,3.1,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.22
5,292,143,2.03,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.105
5,204,66,3.1,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.077
5,110,44,2.5,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.052
5,152,55,2.76,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.047
5,292,143,2.03,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.104
5,204,66,3.1,0,1,1,2000,50,0,1,1,0,0,0,1,0,132,0.129223278
5,292,143,2.03,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.074402888
5,292,143,2.03,0,1,1,2000,50,0,1,1,0,0,0,1,0,132,0.193502465
2,204,66,3.1,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.012535433
4,204,66,3.1,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.038332987
6,204,66,3.1,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.101182024
7,204,66,3.1,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.198600871
8,204,66,3.1,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.163841797
10,204,66,3.1,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.170187205
2,110,44,2.5,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.000412427
4,110,44,2.5,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.007139338
6,110,44,2.5,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.03741155
8,110,44,2.5,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.072671825
9,110,44,2.5,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.0637786
10,110,44,2.5,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.027641647
12,110,44,2.5,0,0,1,2000,50,0,1,1,0,0,0,1,0,132,0.046912305
2,204,66,3.1,0,1,1,2000,50,0,1,1,0,0,0,1,0,132,0.011942893
4,204,66,3.1,0,1,1,2000,50,0,1,1,0,0,0,1,0,132,0.042119677
6,204,66,3.1,0,1,1,2000,50,0,1,1,0,0,0,1,0,132,0.148003545
7,204,66,3.1,0,1,1,2000,50,0,1,1,0,0,0,1,0,132,0.111808435
8,204,66,3.1,0,1,1,2000,50,0,1,1,0,0,0,1,0,132,0.163626472
10,204,66,3.1,0,1,1,2000,50,0,1,1,0,0,0,1,0,132,0.141647659
10,110,45,2.47,1,1,1,2000,50,0,0,1,0,0,0,1,0,62,0.004048872
12,110,45,2.47,1,1,1,2000,50,0,0,1,0,0,0,1,0,62,0.016143976
7,204,66,3.1,1,1,1,2000,50,0,0,1,0,0,0,1,0,132,0.132
2,110,45,2.47,1,1,1,2000,50,0,0,1,0,0,0,1,0,62,0.000256
6,110,45,2.47,1,1,1,2000,50,0,0,1,0,0,0,1,0,62,0.00023853
8,110,45,2.47,1,1,1,2000,50,0,0,1,0,0,0,1,0,62,0.0027
9,110,45,2.47,1,1,1,2000,50,0,0,1,0,0,0,1,0,62,0.005117287
3,242,37.259,6.495,1,1,0,4400,65,0,0,0,1,0,0,1,0,62,0.208660895
3,242,37.259,6.495,1,1,0,4400,65,0,0,0,1,0,0,1,0,62,0.2888216
3,242,37.259,6.495,1,1,0,4400,65,0,0,0,1,0,0,1,0,62,0.063943479
3,242,37.259,6.495,1,1,0,4400,65,0,0,0,1,0,0,1,0,62,0.00141407
3,242,37.259,6.495,1,1,0,4400,65,0,0,0,1,0,0,1,0,62,0.010438235
5,242,37.259,6.495,1,1,0,4400,65,0,0,0,1,0,0,1,0,132,0.0228
5,242,37.259,6.495,1,1,0,4400,65,0,0,0,1,0,0,1,0,132,0.0439
5,242,37.259,6.495,1,1,0,4400,65,0,0,0,1,0,0,1,0,132,0.0354
5,242,37.259,6.495,1,1,0,4400,65,0,0,0,1,0,0,1,0,132,0.0165
5,242,37.259,6.495,1,1,0,4400,65,0,0,0,1,0,0,1,0,132,0.0214
5,242246,37.25,6.495,1,1,0,4400,65,0,0,0,1,0,0,1,0,132,0.0509
5,242.246,37.25,6.495,1,1,0,4400,65,0,0,0,1,0,0,1,0,132,0.0509
